created_date,complaint_type,borough,descriptor,latitude,longitude
2025-05-09 00:46:20,Noise - Street/Sidewalk,MANHATTAN,Loud Music/Party,40.82522248363238,-73.94969287279021
2025-05-09 00:45:49,Noise - Residential,QUEENS,Loud Music/Party,40.705784035042434,-73.8095879090224
2025-05-09 00:45:48,Illegal Parking,BRONX,Blocked Sidewalk,40.84751832568139,-73.9099893374593
2025-05-09 00:45:43,Noise - Residential,QUEENS,Loud Music/Party,40.59043349089189,-73.78873482274099
2025-05-09 00:45:20,Noise - Street/Sidewalk,BROOKLYN,Loud Talking,40.6349174051776,-73.88457634876487
2025-05-09 00:44:50,Noise - Residential,MANHATTAN,Loud Music/Party,40.7830316157158,-73.95216575210866
2025-05-09 00:44:43,Noise - Commercial,BROOKLYN,Banging/Pounding,40.66067512477372,-73.95061712747254
2025-05-09 00:44:25,Noise - Residential,QUEENS,Loud Music/Party,40.705784035042434,-73.8095879090224
2025-05-09 00:44:15,For Hire Vehicle Complaint,BRONX,Driver Complaint - Non Passenger,40.83780041850371,-73.88637103367282
2025-05-09 00:43:47,Noise - Residential,QUEENS,Loud Music/Party,40.74950759396999,-73.8833311589875
2025-05-09 00:42:54,Noise - Residential,QUEENS,Loud Music/Party,40.705784035042434,-73.8095879090224
2025-05-09 00:41:34,Noise - Residential,QUEENS,Loud Music/Party,40.705784035042434,-73.8095879090224
2025-05-09 00:41:00,Street Light Condition,BRONX,Street Light Out,40.86961503008332,-73.84462093196966
2025-05-09 00:40:20,Noise - Residential,BRONX,Loud Television,40.81310509273885,-73.82425504244898
2025-05-09 00:40:18,Noise - Residential,QUEENS,Loud Music/Party,40.705784035042434,-73.8095879090224
2025-05-09 00:39:41,Noise - Residential,MANHATTAN,Loud Music/Party,40.80034087855775,-73.95461301004313
2025-05-09 00:39:31,Noise - Commercial,MANHATTAN,Loud Music/Party,40.73214573479022,-74.00149379140831
2025-05-09 00:39:24,Noise - Street/Sidewalk,BRONX,Loud Talking,40.88735388030759,-73.90533506310477
2025-05-09 00:39:08,Noise - Residential,MANHATTAN,Banging/Pounding,40.72517096365262,-73.99094438640566
2025-05-09 00:39:02,Noise - Residential,QUEENS,Loud Music/Party,40.705784035042434,-73.8095879090224
2025-05-09 00:38:43,Illegal Parking,BROOKLYN,Blocked Hydrant,40.60346931212046,-73.98269605286242
2025-05-09 00:38:28,Non-Emergency Police Matter,QUEENS,Other (complaint details),40.72545848805658,-73.85475592376037
2025-05-09 00:37:52,Illegal Parking,QUEENS,Posted Parking Sign Violation,40.69151093784857,-73.72988546578186
2025-05-09 00:37:41,Non-Emergency Police Matter,BROOKLYN,Trespassing,40.66001760998396,-73.96096553336491
2025-05-09 00:37:41,Blocked Driveway,BRONX,No Access,40.8511823633915,-73.91338576561749
2025-05-09 00:37:28,Illegal Parking,QUEENS,Commercial Overnight Parking,40.69151093784857,-73.72988546578186
2025-05-09 00:37:26,Noise - Residential,QUEENS,Loud Music/Party,40.705784035042434,-73.8095879090224
2025-05-09 00:37:16,Noise - Residential,QUEENS,Loud Music/Party,40.7349131932339,-73.81062325677578
2025-05-09 00:36:52,Asbestos,STATEN ISLAND,N/A,40.61930887085814,-74.08596754739075
2025-05-09 00:36:45,Smoking or Vaping,BRONX,Allowed in Smoke Free Area,40.82195941362754,-73.92514096620819
2025-05-09 00:35:59,Noise - Residential,QUEENS,Loud Music/Party,40.705784035042434,-73.8095879090224
2025-05-09 00:35:23,Noise - Residential,MANHATTAN,Loud Music/Party,40.762985438259186,-73.99166482746644
2025-05-09 00:35:15,Noise - Park,QUEENS,Loud Music/Party,40.76279941630506,-73.93401911119993
2025-05-09 00:35:00,Traffic Signal Condition,MANHATTAN,Controller,40.70960001383794,-73.99194202586268
2025-05-09 00:34:46,Blocked Driveway,BROOKLYN,No Access,40.605620867003736,-73.95943795148023
2025-05-09 00:34:10,Noise - Residential,BROOKLYN,Loud Music/Party,40.694184225925355,-73.98163033580042
2025-05-09 00:34:06,Noise - Residential,MANHATTAN,Loud Music/Party,40.86125640378806,-73.9266838048094
2025-05-09 00:33:57,Noise - Residential,BROOKLYN,Banging/Pounding,40.64041514286851,-73.96331549797361
2025-05-09 00:33:57,Noise - Street/Sidewalk,MANHATTAN,Loud Music/Party,40.72507528583618,-73.97500870675339
2025-05-09 00:33:45,Non-Emergency Police Matter,MANHATTAN,Other (complaint details),40.81695752272475,-73.94250605409184
2025-05-09 00:33:15,Noise - Residential,QUEENS,Loud Music/Party,40.705784035042434,-73.8095879090224
2025-05-09 00:33:14,Noise - Commercial,QUEENS,Loud Music/Party,40.710157312597296,-73.89925281708342
2025-05-09 00:32:50,Noise - Residential,MANHATTAN,Banging/Pounding,40.720226533969814,-73.98156182961009
2025-05-09 00:32:39,Noise - Residential,QUEENS,Banging/Pounding,40.71585209428644,-73.82352307303
2025-05-09 00:32:33,Noise - Residential,BRONX,Banging/Pounding,40.83949806593444,-73.84513941141752
2025-05-09 00:32:30,Noise - Residential,BROOKLYN,Loud Talking,40.65517761805156,-73.91758665809446
2025-05-09 00:32:25,Blocked Driveway,BROOKLYN,No Access,40.59128055180538,-73.94882854922774
2025-05-09 00:32:00,Noise - Commercial,QUEENS,Loud Music/Party,40.71014083456102,-73.89924202097941
2025-05-09 00:31:40,Noise - Residential,QUEENS,Loud Music/Party,40.705784035042434,-73.8095879090224
2025-05-09 00:31:37,Noise - Street/Sidewalk,QUEENS,Loud Talking,40.758709679626,-73.86479039663507
